Food_Item,Meal_Type,Category,Allergens,Period_Friendly,Diabetes_Friendly,High_BP_Friendly
Moong Dal Chilla,Breakfast,Veg,,0,1,0
Lemon Rice + Beetroot Curry,Lunch,Veg,,0,0,1
Roti + Palak Paneer,Lunch,Veg,,1,1,1
Vegetable Dalia,Breakfast,Veg,,0,1,1
Upma,Breakfast,Veg,,0,0,1
Veg Biryani,Lunch,Veg,,0,1,0
Multigrain Roti + Tinda Curry,Dinner,Veg,,1,0,1
Sprouted Moong Salad,Snack,Veg,,1,0,1
Upma,Breakfast,Veg,,0,0,1
Egg Bhurji + Chapati,Dinner,Non-Veg,,0,1,1
Moong Dal Khichdi + Salad,Dinner,Veg,,0,0,0
Lauki Soup + Moong Sprouts,Dinner,Veg,,0,1,1
Egg Whites + Salted Toast,Snack,Veg,,1,0,0
Clear Veg Soup,Snack,Veg,,1,0,0
Roasted Makhana,Snack,Veg,,1,1,0
Chicken Curry + Steamed Rice,Lunch,Non-Veg,,0,0,0
Masala Papad,Snack,Veg,,0,0,0
Chicken Clear Soup + Toast,Dinner,Non-Veg,,0,0,0
Roti + Palak Paneer,Lunch,Veg,,1,1,1
Chicken Stew + Appam,Lunch,Non-Veg,,0,0,0
Hummus + Carrot Sticks,Snack,Veg,,0,0,0
Vegetable Uthappam,Breakfast,Veg,,1,1,0
Besan Chilla,Breakfast,Veg,,0,0,1
Protein Bar,Snack,Veg,,0,0,0
Fish Curry + Brown Rice,Lunch,Non-Veg,,0,0,0
Vegetable Dalia,Breakfast,Veg,,0,1,1
Multigrain Roti + Tinda Curry,Dinner,Veg,,1,0,1
Sweet Potato Chaat,Snack,Veg,,1,0,0
Poha,Breakfast,Veg,,0,1,0
Smoothie Bowl,Breakfast,Veg,,0,1,0
Mutton Soup + Roti,Dinner,Non-Veg,,0,0,0
Oats Khichdi,Dinner,Veg,,0,1,0
Moong Dal Khichdi + Salad,Dinner,Veg,,0,0,0
Stuffed Paratha + Yogurt,Dinner,Veg,,1,0,1
Clear Veg Soup,Snack,Veg,,1,0,0
Grilled Fish + Stir Fry Veggies,Dinner,Non-Veg,,1,0,1
Oats Khichdi,Dinner,Veg,,0,1,0
Grilled Fish + Stir Fry Veggies,Dinner,Non-Veg,,1,0,1
Clear Veg Soup,Snack,Veg,,1,0,0
Moong Dal Chilla,Breakfast,Veg,,0,1,0
Fish Fry + Lemon Rice,Lunch,Non-Veg,,0,1,0
Moong Dal Khichdi + Salad,Dinner,Veg,,0,0,0
Idli,Breakfast,Veg,,1,0,1
Palak Soup + Paneer Cubes,Dinner,Veg,,0,1,0
Veg Biryani,Lunch,Veg,,0,1,0
Veg Pulao,Lunch,Veg,,0,1,1
Brown Rice + Mixed Veg Curry,Lunch,Veg,,1,0,0
Mutton Soup + Roti,Dinner,Non-Veg,,0,0,0
Lemon Rice + Beetroot Curry,Lunch,Veg,,0,0,1
Chicken Saagwala + Roti,Lunch,Non-Veg,,1,0,0
Cashew Chikki,Snack,Veg,,1,1,1
Veg Fried Rice + Gobi Manchurian,Lunch,Veg,,1,1,0
Roasted Makhana,Snack,Veg,,1,1,0
Grilled Chicken + Quinoa,Lunch,Non-Veg,,0,1,1
Beetroot Roti + Bottle Gourd Curry,Dinner,Veg,,1,1,0
Oats Khichdi,Dinner,Veg,,0,1,0
Vegetable Sandwich,Breakfast,Veg,,1,0,0
Besan Chilla,Breakfast,Veg,,0,0,1
Fish Tikka + Veg Salad,Dinner,Non-Veg,,0,0,1
Lemon Rice + Beetroot Curry,Lunch,Veg,,0,0,1
Dal Tadka + Rice + Salad,Lunch,Veg,,0,1,0
Oats Khichdi,Dinner,Veg,,0,1,0
Peanut Chikki,Snack,Veg,,0,1,0
Ragi Idli,Breakfast,Veg,,0,1,0
Chicken Curry + Steamed Rice,Lunch,Non-Veg,,0,0,0
Veg Fried Rice + Gobi Manchurian,Lunch,Veg,,1,1,0
Lauki Soup + Moong Sprouts,Dinner,Veg,,0,1,1
Ragi Dosa,Breakfast,Veg,,1,0,1
Veg Fried Rice + Gobi Manchurian,Lunch,Veg,,1,1,0
Roti + Chicken Curry,Dinner,Non-Veg,,1,0,0
Chicken Nuggets (baked),Snack,Veg,,0,0,0
Vegetable Sandwich,Breakfast,Veg,,1,0,0
Sprouted Moong Salad,Snack,Veg,,1,0,1
Vegetable Uthappam,Breakfast,Veg,,1,1,0
Roasted Makhana,Snack,Veg,,1,1,0
Chicken Clear Soup + Toast,Dinner,Non-Veg,,0,0,0
Cashew Chikki,Snack,Veg,,1,1,1
Egg Bhurji + Chapati,Dinner,Non-Veg,,0,1,1
Multigrain Roti + Tinda Curry,Dinner,Veg,,1,0,1
Chicken Biryani,Lunch,Non-Veg,,1,1,1
Stuffed Paratha + Yogurt,Dinner,Veg,,1,0,1
Oats Khichdi,Dinner,Veg,,0,1,0
Sprouts Salad,Breakfast,Veg,,1,0,1
Mutton Soup + Roti,Dinner,Non-Veg,,0,0,0
Upma,Breakfast,Veg,,0,0,1
Egg Curry + Jeera Rice,Lunch,Non-Veg,,1,0,1
Methi Thepla,Breakfast,Veg,,1,0,1
Roti + Mutton Keema,Lunch,Non-Veg,,1,0,0
Chicken Clear Soup + Toast,Dinner,Non-Veg,,0,0,0
Veg Biryani,Lunch,Veg,,0,1,0
Lemon Rice + Beetroot Curry,Lunch,Veg,,0,0,1
Chicken Curry + Steamed Rice,Lunch,Non-Veg,,0,0,0
Cabbage Sabzi + Roti,Dinner,Veg,,1,0,0
Smoothie Bowl,Breakfast,Veg,,0,1,0
Moong Dal Khichdi + Salad,Dinner,Veg,,0,0,0
Vegetable Sandwich,Breakfast,Veg,,1,0,0
Fish Tikka + Veg Salad,Dinner,Non-Veg,,0,0,1
Ragi Dosa,Breakfast,Veg,,1,0,1
Sprouted Moong Salad,Snack,Veg,,1,0,1
